# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_region_variant	variants_effect_structural_interaction_variant	variants_effect_upstream_gene_variant
COL4A5	ENSG00000188153	ENST00000361603	protein_coding	0	0	3	0	0	0	3	0	0	0	0	0
COL4A5	ENSG00000188153	ENST00000489230	retained_intron	0	0	0	3	3	0	0	0	0	0	0	0
COL4A5	ENSG00000188153	ENST00000515658	protein_coding	0	0	3	0	0	0	3	0	0	0	0	0
DDX11L1	ENSG00000223972	ENST00000450305	transcribed_unprocessed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	3
DDX11L1	ENSG00000223972	ENST00000456328	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	3
FAM166AP3	ENSG00000283040	ENST00000635557	transcribed_unprocessed_pseudogene	0	0	0	2	2	0	0	0	0	0	0	0
FAM41C	ENSG00000230368	ENST00000427857	lincRNA	0	0	0	2	0	2	0	0	0	0	0	0
FAM41C	ENSG00000230368	ENST00000432963	lincRNA	0	0	0	2	0	0	0	0	0	0	0	2
FAM41C	ENSG00000230368	ENST00000446136	lincRNA	0	0	0	2	0	2	0	0	0	0	0	0
FAM87B	ENSG00000177757	ENST00000326734	lincRNA	0	0	0	3	0	0	0	1	0	0	0	2
GPR6	ENSG00000146360	ENST00000275169	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0
GPR6	ENSG00000146360	ENST00000414000	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0
IDH1	ENSG00000138413	ENST00000345146	protein_coding	117	0	3	0	0	0	3	0	0	0	117	0
IDH1	ENSG00000138413	ENST00000415282	protein_coding	0	0	3	0	0	0	3	0	0	0	0	0
IDH1	ENSG00000138413	ENST00000415913	protein_coding	117	3	3	0	0	0	3	0	3	0	117	0
IDH1	ENSG00000138413	ENST00000417583	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0
IDH1	ENSG00000138413	ENST00000446179	protein_coding	117	0	3	0	0	0	3	0	0	0	117	0
IDH1	ENSG00000138413	ENST00000451391	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0
IDH1	ENSG00000138413	ENST00000462386	retained_intron	0	0	0	3	0	0	0	3	0	0	0	0
IDH1	ENSG00000138413	ENST00000481557	retained_intron	0	0	0	3	3	0	0	0	0	0	0	0
ISG15	ENSG00000187608	ENST00000379389	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0
ISG15	ENSG00000187608	ENST00000624652	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0
ISG15	ENSG00000187608	ENST00000624697	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0
KRAS	ENSG00000133703	ENST00000256078	protein_coding	0	0	2	0	0	0	2	0	0	0	0	0
KRAS	ENSG00000133703	ENST00000311936	protein_coding	0	0	2	0	0	0	2	0	0	0	0	0
KRAS	ENSG00000133703	ENST00000556131	protein_coding	0	0	2	0	0	0	2	0	0	0	0	0
KRAS	ENSG00000133703	ENST00000557334	protein_coding	0	0	2	0	0	0	2	0	0	0	0	0
OR4F5	ENSG00000186092	ENST00000335137	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0
RP11-206L10.8	ENSG00000230092	ENST00000447500	processed_transcript	0	0	0	3	0	2	0	1	0	0	0	0
RP11-54O7.11	ENSG00000224969	ENST00000458555	antisense	0	0	0	1	0	0	0	0	0	0	0	1
RP5-857K21.4	ENSG00000230021	ENST00000634337	lincRNA	0	0	0	3	0	3	0	0	0	0	0	0
RP5-857K21.4	ENSG00000230021	ENST00000635509	lincRNA	0	0	0	3	0	3	0	0	0	0	0	0
TUBB8P11	ENSG00000234711	ENST00000415481	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	2
WASH7P	ENSG00000227232	ENST00000488147	unprocessed_pseudogene	0	0	0	3	3	0	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000309776	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000381584	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000381591	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000381604	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000381607	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000397955	protein_coding	0	0	2	0	0	0	2	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000397959	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000397962	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000402736	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000403354	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000439456	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000509513	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000558098	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000602682	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
ZMYND11	ENSG00000015171	ENST00000627286	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
